Image,RLE_Compression_Ratio,Huffman_Compression_Ratio,RLE_PSNR,Huffman_PSNR
g1.jpg,0.027500375372283777,0.08694774203091182,inf,inf
image1.png,0.05716302552837993,0.482137076646145,inf,inf
image10.png,0.052610039330390324,0.4151850186198595,inf,inf
image11.png,0.051840474316794824,0.415076673920745,inf,inf
image12.png,0.05273040404825507,0.4662561153160974,inf,inf
image2.png,0.051056392826239874,0.3859227084111435,inf,inf
image3.png,0.04978000906664867,0.39123973970006415,inf,inf
image4.png,0.05742195138323425,0.4734226139003978,inf,inf
image5.png,0.056755805770584096,0.4357559049800149,inf,inf
image6.png,0.04886322553558725,0.39978054351261577,inf,inf
image7.png,0.04997834282014745,0.4024526267139116,inf,inf
image8.png,0.047023065091688555,0.3883413011946268,inf,inf
image9.png,0.05301431635510099,0.4754273296986865,inf,inf
